Symbol,Name,Sector,Price,PERatio,Price_Earnings,Dividend_Yield,52_Week_Low,52_Week_High,Market_Cap,EBITDA,Price_Sales,PBRatio,ROE,CurrentRatio,debtToEquity,interestcoverageratio,netincome,epsgrowth,longtermdebt,shareholderequity,Flag1,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,Graham_Number,QualityRating
MMM,3M Company,Industrials,222.89,19.29,24.31,2.3328617,259.77,175.49,1.39E+11,9048000000,4.3902707,11.21,50.09,1.89,150.03,38.58333333,5360000000,0.1181,13490000000,9800000000,1,1,1,1,1,0,1,1,78.30446826,
AOS,A.O. Smith Corp,Industrials,60.24,18.14,27.76,1.1479592,68.39,48.925,10783419933,601000000,3.5754826,4.18,26.39,2.09,12.89,74.16666667,444200000,0.5164,221400000,1720000000,1,1,1,1,1,1,1,1,51.09626209,
ABT,Abbott Laboratories,Health Care,56.27,64.3,22.51,1.9089824,64.6,42.28,1.02E+11,5744000000,3.7404804,4.16,7.55,1.62,64.1,9.766803841,2320000000,3.9755,19360000000,30520000000,1,1,1,0,0,1,1,1,45.90137253,AA
ABBV,AbbVie Inc.,Health Care,108.48,23.77,19.41,2.4995599,125.86,60.05,1.81E+11,10310000000,6.291571,0,0,0.98,0,10.2962963,5660000000,0.1088,35000000000,-8449999999,1,1,1,0,0,1,0,1,0,
ACN,Accenture plc,Information Technology,150.51,27.52,25.47,1.7144699,162.6,114.82,98765855553,5643228000,2.604117,8.74,38.58,1.4,0.16,315.7665505,4850000000,0.1593,16250000,14410000000,1,1,1,1,1,0,1,1,70.77199658,AA
ATVI,Activision Blizzard,Information Technology,65.83,23.49,31.8,0.43190324,74.945,38.93,52518668144,2704000000,10.59512,3.13,17.42,2.31,23.52,21.28571429,1810000000,5.6111,2670000000,11360000000,1,1,1,1,1,1,1,1,47.32351424,
AYI,Acuity Brands Inc,Industrials,145.41,16.12,18.22,0.35118526,225.36,142,6242377704,587800000,1.7953473,2.58,18.18,2.42,18.58,15.19230769,330400000,-0.0264,347500000,1920000000,1,0,1,1,1,1,1,1,32.52185419,
ADBE,Adobe Systems Inc,Information Technology,185.16,58.89,52.31,0,204.45,114.451,94550214268,2538040000,13.092818,13.07,29.07,1.13,44.06,35.18601524,2590000000,0.5394,4120000000,9360000000,1,1,1,1,1,0,1,1,124.0284776,
AAP,Advance Auto Parts,Consumer Discretionary,109.63,26.99,19.54,0.21832074,169.55,78.81,8123611867,853941000,1.1301061,3.17,12.17,1.57,29.45,15.93673794,423850000,-0.1073,1050000000,3550000000,1,0,1,0,1,1,1,1,37.33216442,AA
AMD,Advanced Micro Devices Inc,Information Technology,11.22,123.84,187,0,15.65,9.7,11191663795,339000000,2.1091955,14.15,35.91,1.78,98.74,-5.173553719,-337000000,12.3333,1110000000,-1270000000,1,1,1,1,0,0,1,0,244.0002561,
AES,AES Corp,Utilities,10.06,12.4,9.96,4.961832,12.05,10,6920851212,3001000000,0.65951383,2.99,26.66,1.14,601.47,3.356435644,-1350000000,2.82,17640000000,4090000000,1,1,0,1,0,1,1,1,25.88549787,
AET,Aetna Inc,Health Care,178,-1,18.11,1.101989,194.4,119.51,59197016353,4139000000,0.9923546,0.44,-51.57,8.5,0,0,-2870000,-0.3392,0,10670000,1,0,0,0,0,1,1,0,13.38988424,
AMG,Affiliated Managers Group Inc,Financials,179.11,18.87,12.24,0.6387395,216.995,148.81,10442174371,1261400000,4.591235,1.47,6.69,0,52.92,0,532299999,-0.6309,1780000000,3460000000,1,0,1,0,1,1,0,0,20.12058647,AA
AFL,AFLAC Inc,Financials,83.25,14.06,12.24,2.4299066,91.73,68.8,33422948000,0,1.5429344,1.47,12.15,0.52,24.63,0,2920000000,-0.348,5770000000,23460000000,1,0,1,0,1,1,0,0,20.12058647,
A,Agilent Technologies Inc,Health Care,65.05,24.39,27.45,0.8756979,75,49.23,21984606918,1094000000,6.493563,4.93,23,1.53,50.7,15.94594595,1070000000,2.4649,1790000000,4750000000,1,1,1,1,1,1,1,1,55.18053325,
APD,Air Products & Chemicals Inc,Materials,152.8,29.21,24.22,2.7811136,175.17,133.6301,34638387128,2542500000,4.1163683,4.42,16.06,2.54,30.09,20.86049544,1810000000,0.1697,3230000000,11050000000,1,1,1,1,1,1,1,1,49.07829459,
AKAM,Akamai Technologies Inc,Information Technology,62.49,48.44,32.55,0,69.56,44.65,10906904066,789517000,5.8546524,3.12,9.18,2.06,48.89,19.54212963,298370000,0.3692,874080000,3190000000,1,1,1,0,1,1,1,1,47.80177821,AA
ALK,Alaska Air Group Inc,Industrials,64.04,19.38,9.66,1.9928383,101.43,59.25,7903173734,1665000000,0.9801092,2,11.7,0.61,56.07,15.47945205,437000000,-0.5449,1620000000,3750000000,1,0,1,0,1,1,0,1,20.84946042,
